                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.25774,                0.22747,                0.20622,                0.87034,                0.99374,                0.99045,                0.99418,                0.91552,                0.99609,                0.99316,                0.99482,                0.84658,                0.46453,                0.10274,                0.23916,                 1.0129,               0.000317,               0.000317,               0.000317
                     87,                0.25691,                0.22981,                0.20571,                0.86895,                0.99349,                0.99155,                 0.9942,                 0.9161,                0.99609,                 0.9943,                0.99486,                0.84773,                0.46294,                 0.1024,                0.23734,                 1.0162,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.2539,                0.22886,                0.20459,                0.86827,                0.99323,                0.99166,                0.99412,                0.91534,                0.99596,                 0.9946,                0.99486,                0.84884,                0.46233,                0.10263,                0.23813,                  1.019,              0.0002774,              0.0002774,              0.0002774
                     89,                0.24857,                0.22898,                0.20227,                0.86461,                0.99335,                0.99133,                0.99416,                0.91477,                0.99628,                0.99363,                0.99495,                0.84719,                0.46041,                0.10267,                 0.2365,                  1.013,              0.0002576,              0.0002576,              0.0002576
                     90,                0.24856,                0.22535,                0.20096,                0.86313,                0.99413,                0.99074,                0.99418,                0.91796,                0.99718,                0.99376,                0.99494,                0.84946,                0.45847,                0.10228,                0.23526,                 1.0106,              0.0002378,              0.0002378,              0.0002378
                     91,                0.27339,                0.14914,                 0.1899,                0.82561,                0.99377,                0.99103,                0.99392,                0.91416,                0.99661,                0.99376,                0.99487,                0.84384,                0.46475,                0.10439,                0.23703,                 1.0252,               0.000218,               0.000218,               0.000218
                     92,                0.26845,                 0.1427,                 0.1837,                0.82364,                0.99478,                0.99074,                0.99378,                0.91478,                0.99761,                0.99337,                0.99489,                0.84649,                0.46544,                0.10327,                0.23774,                 1.0344,              0.0001982,              0.0001982,              0.0001982
                     93,                0.25709,                0.13742,                0.17919,                 0.8164,                0.99433,                0.99129,                0.99382,                0.91643,                 0.9972,                0.99415,                0.99494,                0.84765,                0.46502,                 0.1025,                0.23864,                 1.0418,              0.0001784,              0.0001784,              0.0001784
                     94,                0.25707,                0.13838,                0.17855,                0.81714,                0.99394,                0.99168,                 0.9938,                0.91833,                0.99668,                0.99441,                0.99494,                0.85182,                0.46537,                 0.1027,                0.23929,                 1.0472,              0.0001586,              0.0001586,              0.0001586
                     95,                0.25316,                0.13643,                0.17383,                0.81436,                0.99452,                0.99138,                0.99385,                0.92011,                0.99731,                0.99441,                0.99494,                0.85347,                0.46428,                0.10131,                0.23685,                 1.0464,              0.0001388,              0.0001388,              0.0001388
                     96,                0.25077,                0.13606,                0.17432,                0.81373,                0.99447,                0.99168,                0.99389,                 0.9222,                0.99721,                0.99441,                0.99494,                0.85568,                0.46015,                0.10057,                0.23438,                 1.0377,               0.000119,               0.000119,               0.000119
                     97,                0.24699,                0.13455,                0.17145,                0.81181,                0.99419,                0.99155,                0.99389,                0.92213,                0.99697,                0.99428,                0.99495,                0.85637,                 0.4609,                0.10012,                0.23507,                 1.0425,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.24455,                0.13518,                0.16978,                 0.8091,                0.99465,                0.99159,                0.99383,                0.92183,                0.99765,                0.99454,                0.99494,                0.85727,                0.46084,                0.09982,                0.23455,                 1.0485,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.24051,                0.13184,                0.16719,                0.80802,                0.99452,                 0.9915,                0.99386,                0.92337,                0.99739,                0.99429,                0.99494,                0.85807,                0.45921,                0.09965,                 0.2333,                 1.0451,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.24198,                0.13385,                0.16814,                0.80699,                0.99387,                0.99149,                0.99387,                0.92399,                0.99713,                0.99389,                0.99494,                0.85923,                0.45875,                0.09938,                0.23318,                 1.0435,               3.98e-05,               3.98e-05,               3.98e-05
